group,identifier,border_centre_ratio,attention_entropy
ava_test,448604,0.2944236993789673,0.9089329733361396
ava_test,832615,1.3633575439453125,0.8869536527308319
ava_test,93986,0.9456346035003662,0.8087823888927363
ava_test,124663,0.2100101113319397,0.9249044824106646
ava_test,112323,0.30399593710899353,0.9126763949293014
ava_test,541827,0.6108036041259766,0.887882909902301
ava_test,287280,0.41973376274108887,0.9110840264170323
ava_test,430354,2.1215837001800537,0.9131059582367458
ava_test,197253,0.5395874381065369,0.9239362285590046
ava_test,835829,0.10240286588668823,0.9052901828607846
ava_test,337392,0.9007608890533447,0.8780755100828255
ava_test,1037,0.11357097327709198,0.9079575324342773
ava_test,786589,0.6298587322235107,0.9211788643561359
ava_test,97408,0.10262055695056915,0.8612404444334547
ava_test,387867,0.643778383731842,0.8867183699196279
ava_test,225,0.44905179738998413,0.9069539979753102
ava_test,480203,0.36058491468429565,0.9170638675523768
ava_test,562909,0.1580854207277298,0.9040807667187176
ava_test,354294,0.6587076783180237,0.9164062325003138
ava_test,937675,0.07475049793720245,0.900777045452732
ava_test,130740,0.7327815294265747,0.9006186344213636
ava_test,282861,0.7584785223007202,0.8657065458987196
ava_test,23651,1.029751181602478,0.9107654736656962
ava_test,861044,0.1657245010137558,0.9352648062145315
ava_test,600421,0.11722110956907272,0.8901519018065492
ava_test,618946,0.3925876319408417,0.9080628418685517
ava_test,919116,0.806194007396698,0.892601955186762
ava_test,372060,1.1299513578414917,0.8757208060443757
ava_test,714229,0.23801301419734955,0.9165793741487089
ava_test,585351,0.868172287940979,0.9129371264685453
ava_test,15148,0.9786183834075928,0.9171694829646868
ava_test,54758,0.23375144600868225,0.7728545710617729
ava_test,429609,0.8451107144355774,0.9062085782788162
ava_test,115482,0.35385942459106445,0.9015261079249608
ava_test,232047,0.0,0.0
ava_test,676133,0.1358872652053833,0.937022696839516
ava_test,943035,0.1063113808631897,0.8652766840050583
ava_test,797430,0.04021796956658363,0.8973682357434231
ava_test,390430,0.6083952188491821,0.8927046885448973
ava_test,330163,0.5853044986724854,0.9348646805928817
ava_test,359312,0.5428805351257324,0.8963388810144948
ava_test,941726,0.20007985830307007,0.9087450234689277
ava_test,220843,0.12682516872882843,0.9167467450892292
ava_test,4562,0.3217613995075226,0.9227138962846517
ava_test,606677,0.5746861100196838,0.8904432751331501
ava_test,64384,0.847777247428894,0.9111758630076426
ava_test,70783,0.3504507541656494,0.9491650730076867
ava_test,855726,0.06276025623083115,0.8873850767777329
ava_test,538023,0.4941031336784363,0.9150752390840304
ava_test,696189,0.8832972645759583,0.9166177131926944
ava_test,558803,0.18434356153011322,0.9258121475163741
ava_test,600366,0.2559182345867157,0.9263357083303
ava_test,877133,0.5185727477073669,0.8768275474415697
ava_test,711354,0.841711699962616,0.894402272048849
ava_test,770606,0.3260875940322876,0.9223052896361141
ava_test,621051,0.43272852897644043,0.895578196688758
ava_test,168176,0.009831463918089867,0.884023982438786
ava_test,355759,0.9078839421272278,0.9043008092524398
ava_test,4723,0.11118597537279129,0.9089139366675189
ava_test,650540,0.030859947204589844,0.8983354114547408
ava_test,146507,0.2580603361129761,0.9292271957291748
ava_test,107902,0.038295987993478775,0.8883401112979445
ava_test,276987,1.0423287153244019,0.9186923424386219
ava_test,760284,0.19716805219650269,0.9085988290684485
ava_test,654980,0.19757819175720215,0.9358806572928124
ava_test,114244,0.05618518590927124,0.9053965817397006
ava_test,716749,0.0781455785036087,0.8749605391457681
ava_test,799806,0.9774510264396667,0.9044092883412419
ava_test,529231,0.19893138110637665,0.9060657023031781
ava_test,171447,0.7313233613967896,0.8970103558435958
ava_test,155648,0.2441178411245346,0.9223175941695402
ava_test,312907,0.4949609339237213,0.8546218549051174
ava_test,477002,0.2747696042060852,0.9344197741583776
ava_test,356461,0.6491016149520874,0.9023583322583758
ava_test,171312,0.5130699276924133,0.9110625767359294
ava_test,723604,0.33303600549697876,0.9129861047889808
ava_test,367417,0.47498956322669983,0.8949234612974077
ava_test,848916,0.33763596415519714,0.9399378951227118
ava_test,63030,0.79970782995224,0.8748137046298778
ava_test,244525,0.7180396914482117,0.8842664577349864
ava_test,129964,0.8380345106124878,0.8783767461683024
ava_test,64813,0.11497040092945099,0.8935620573421508
ava_test,465695,39.37982177734375,0.6954753599932872
ava_test,914291,0.26673704385757446,0.9023014676359428
ava_test,343789,0.2860812544822693,0.901110895625922
ava_test,604813,0.41646894812583923,0.8895277569684479
ava_test,616784,0.22568662464618683,0.9073156087622715
ava_test,13450,0.2494630217552185,0.8887387215883613
ava_test,234693,0.3499893844127655,0.9285856224744637
ava_test,376407,1.111746072769165,0.9216576634108914
ava_test,138757,0.0929928570985794,0.8951138571308245
ava_test,506915,1.0983973741531372,0.8515912272741967
ava_test,84205,0.9269868731498718,0.8933889691394149
ava_test,485111,0.17243097722530365,0.8837113001250568
ava_test,351020,0.9084988236427307,0.8739205284137708
ava_test,324360,0.9429286122322083,0.8984549591710308
ava_test,579694,4.338310241699219,0.7356929263802381
ava_test,144275,0.5064863562583923,0.8975428097408149
ava_test,904929,0.11357478052377701,0.8835356539138738
ava_test,373062,0.4146696925163269,0.9407436552110148
ava_test,804719,0.4348048269748688,0.8677016547466906
ava_test,243653,0.3155348300933838,0.9261623725686893
ava_test,152006,0.29761186242103577,0.9261918661470816
ava_test,118347,0.2354934811592102,0.9071665551026874
ava_test,400703,0.5984002947807312,0.9113916391964021
ava_test,251126,0.09708841145038605,0.9003931806578179
ava_test,59116,0.0684749037027359,0.9084253000412816
ava_test,140925,0.44326576590538025,0.9119189501856585
ava_test,240583,0.10612321645021439,0.9259582174138117
ava_test,612975,0.6204858422279358,0.9487145717746088
ava_test,803351,0.46551695466041565,0.8980148560173299
ava_test,223583,0.7701694369316101,0.9012923925534368
ava_test,106052,0.27432531118392944,0.9370292477553325
ava_test,81524,0.640275776386261,0.8745193693397683
ava_test,691544,1.0858170986175537,0.9089408715751471
ava_test,685351,1.398226022720337,0.8982867073023934
ava_test,25276,0.3917217552661896,0.8897999099425955
ava_test,678116,0.3513234257698059,0.8740888254130434
ava_test,567799,0.538884162902832,0.9201463295581621
ava_test,606874,0.35777366161346436,0.9126324252442254
ava_test,284809,0.7621971368789673,0.8951031450540906
ava_test,570345,0.28462567925453186,0.9266763160394106
ava_test,656483,0.2463134229183197,0.9417008823228884
ava_test,620538,0.08741070330142975,0.904228241345598
ava_test,731999,0.8740589618682861,0.9377976986822157
ava_test,628393,0.324919193983078,0.9365343323884204
